node1,node2,node1_brand,node2_brand,brand_distance
111,127,7-Eleven,7-Eleven,0.5
112,140,7-Eleven,MyNews,1.0
112,128,7-Eleven,7-Eleven,0.5
112,114,7-Eleven,7-Eleven,0.5
113,129,7-Eleven,7-Eleven,0.5
113,136,7-Eleven,MyNews,1.0
114,127,7-Eleven,7-Eleven,0.5
115,129,7-Eleven,7-Eleven,0.5
115,137,7-Eleven,MyNews,1.0
116,140,7-Eleven,MyNews,1.0
116,117,7-Eleven,7-Eleven,0.5
116,118,7-Eleven,7-Eleven,0.5
116,182,7-Eleven,7-Eleven,0.5
116,183,7-Eleven,7-Eleven,0.5
116,170,7-Eleven,99 Speedmart,1.0
117,140,7-Eleven,MyNews,1.0
117,118,7-Eleven,7-Eleven,0.5
117,138,7-Eleven,MyNews,1.0
118,119,7-Eleven,7-Eleven,0.5
121,273,7-Eleven,7-Eleven,0.5
123,132,7-Eleven,MyNews,1.0
123,142,7-Eleven,CU,1.0
124,126,7-Eleven,7-Eleven,0.5
124,139,7-Eleven,MyNews,1.0
125,133,7-Eleven,MyNews,1.0
126,273,7-Eleven,7-Eleven,0.5
126,139,7-Eleven,MyNews,1.0
127,140,7-Eleven,MyNews,1.0
128,140,7-Eleven,MyNews,1.0
128,170,7-Eleven,99 Speedmart,1.0
130,135,MyNews,MyNews,0.5
131,134,MyNews,MyNews,0.5
131,137,MyNews,MyNews,0.5
132,240,MyNews,99 Speedmart,1.0
132,134,MyNews,MyNews,0.5
140,170,MyNews,99 Speedmart,1.0
143,361,99 Speedmart,7-Eleven,1.0
143,353,99 Speedmart,KK Super Mart,1.0
143,162,99 Speedmart,7-Eleven,1.0
143,150,99 Speedmart,KK Super Mart,1.0
143,152,99 Speedmart,Family Mart,1.0
144,163,99 Speedmart,7-Eleven,1.0
144,149,99 Speedmart,KK Super Mart,1.0
144,161,99 Speedmart,7-Eleven,1.0
144,146,99 Speedmart,99 Speedmart,0.5
144,153,99 Speedmart,Family Mart,1.0
145,155,99 Speedmart,7-Eleven,1.0
145,148,99 Speedmart,KK Super Mart,1.0
145,146,99 Speedmart,99 Speedmart,0.5
145,166,99 Speedmart,MyNews,1.0
146,148,99 Speedmart,KK Super Mart,1.0
146,524,99 Speedmart,7-Eleven,1.0
146,156,99 Speedmart,7-Eleven,1.0
146,158,99 Speedmart,7-Eleven,1.0
146,163,99 Speedmart,7-Eleven,1.0
146,153,99 Speedmart,Family Mart,1.0
146,166,99 Speedmart,MyNews,1.0
147,167,99 Speedmart,MyNews,1.0
147,165,99 Speedmart,MyNews,1.0
147,352,99 Speedmart,KK Super Mart,1.0
147,164,99 Speedmart,7-Eleven,1.0
147,156,99 Speedmart,7-Eleven,1.0
147,157,99 Speedmart,7-Eleven,1.0
147,158,99 Speedmart,7-Eleven,1.0
148,155,KK Super Mart,7-Eleven,1.0
148,287,KK Super Mart,99 Speedmart,1.0
148,524,KK Super Mart,7-Eleven,1.0
148,295,KK Super Mart,99 Speedmart,1.0
149,358,KK Super Mart,Family Mart,1.0
149,347,KK Super Mart,99 Speedmart,1.0
149,163,KK Super Mart,7-Eleven,1.0
149,154,KK Super Mart,Family Mart,1.0
149,157,KK Super Mart,7-Eleven,1.0
149,161,KK Super Mart,7-Eleven,1.0
150,162,KK Super Mart,7-Eleven,1.0
150,161,KK Super Mart,7-Eleven,1.0
150,152,KK Super Mart,Family Mart,1.0
150,153,KK Super Mart,Family Mart,1.0
150,166,KK Super Mart,MyNews,1.0
151,160,KK Super Mart,7-Eleven,1.0
151,383,KK Super Mart,99 Speedmart,1.0
151,168,KK Super Mart,MyNews,1.0
151,525,KK Super Mart,MyNews,1.0
152,166,Family Mart,MyNews,1.0
152,169,Family Mart,CU,1.0
153,161,Family Mart,7-Eleven,1.0
153,166,Family Mart,MyNews,1.0
154,163,Family Mart,7-Eleven,1.0
154,157,Family Mart,7-Eleven,1.0
154,158,Family Mart,7-Eleven,1.0
155,287,7-Eleven,99 Speedmart,1.0
155,324,7-Eleven,7-Eleven,0.5
155,166,7-Eleven,MyNews,1.0
155,169,7-Eleven,CU,1.0
156,523,7-Eleven,7-Eleven,0.5
156,164,7-Eleven,7-Eleven,0.5
156,516,7-Eleven,99 Speedmart,1.0
156,524,7-Eleven,7-Eleven,0.5
156,158,7-Eleven,7-Eleven,0.5
157,352,7-Eleven,KK Super Mart,1.0
157,358,7-Eleven,Family Mart,1.0
157,158,7-Eleven,7-Eleven,0.5
158,163,7-Eleven,7-Eleven,0.5
159,160,7-Eleven,7-Eleven,0.5
159,164,7-Eleven,7-Eleven,0.5
159,165,7-Eleven,MyNews,1.0
159,403,7-Eleven,Family Mart,1.0
159,428,7-Eleven,MyNews,1.0
159,430,7-Eleven,MyNews,1.0
160,168,7-Eleven,MyNews,1.0
160,164,7-Eleven,7-Eleven,0.5
160,383,7-Eleven,99 Speedmart,1.0
160,403,7-Eleven,Family Mart,1.0
161,347,7-Eleven,99 Speedmart,1.0
161,162,7-Eleven,7-Eleven,0.5
162,347,7-Eleven,99 Speedmart,1.0
162,353,7-Eleven,KK Super Mart,1.0
164,523,7-Eleven,7-Eleven,0.5
164,168,7-Eleven,MyNews,1.0
164,165,7-Eleven,MyNews,1.0
165,167,MyNews,MyNews,0.5
165,428,MyNews,MyNews,0.5
166,169,MyNews,CU,1.0
167,352,MyNews,KK Super Mart,1.0
167,372,MyNews,CU,1.0
167,427,MyNews,MyNews,0.5
167,428,MyNews,MyNews,0.5
168,523,MyNews,7-Eleven,1.0
170,183,99 Speedmart,7-Eleven,1.0
170,172,99 Speedmart,99 Speedmart,0.5
170,186,99 Speedmart,7-Eleven,1.0
170,171,99 Speedmart,99 Speedmart,0.5
170,177,99 Speedmart,99 Speedmart,0.5
170,174,99 Speedmart,99 Speedmart,0.5
171,191,99 Speedmart,7-Eleven,1.0
171,186,99 Speedmart,7-Eleven,1.0
171,177,99 Speedmart,99 Speedmart,0.5
171,173,99 Speedmart,99 Speedmart,0.5
172,225,99 Speedmart,7-Eleven,1.0
172,186,99 Speedmart,7-Eleven,1.0
172,188,99 Speedmart,7-Eleven,1.0
173,191,99 Speedmart,7-Eleven,1.0
173,187,99 Speedmart,7-Eleven,1.0
173,177,99 Speedmart,99 Speedmart,0.5
173,185,99 Speedmart,7-Eleven,1.0
173,408,99 Speedmart,7-Eleven,1.0
173,192,99 Speedmart,MyNews,1.0
174,177,99 Speedmart,99 Speedmart,0.5
174,183,99 Speedmart,7-Eleven,1.0
174,190,99 Speedmart,7-Eleven,1.0
174,178,99 Speedmart,KK Super Mart,1.0
175,194,99 Speedmart,CU,1.0
175,377,99 Speedmart,99 Speedmart,0.5
175,176,99 Speedmart,99 Speedmart,0.5
175,178,99 Speedmart,KK Super Mart,1.0
175,185,99 Speedmart,7-Eleven,1.0
175,408,99 Speedmart,7-Eleven,1.0
175,374,99 Speedmart,99 Speedmart,0.5
176,194,99 Speedmart,CU,1.0
176,366,99 Speedmart,7-Eleven,1.0
176,355,99 Speedmart,Family Mart,1.0
176,178,99 Speedmart,KK Super Mart,1.0
177,178,99 Speedmart,KK Super Mart,1.0
177,187,99 Speedmart,7-Eleven,1.0
177,185,99 Speedmart,7-Eleven,1.0
178,355,KK Super Mart,Family Mart,1.0
178,190,KK Super Mart,7-Eleven,1.0
178,185,KK Super Mart,7-Eleven,1.0
179,376,KK Super Mart,99 Speedmart,1.0
179,398,KK Super Mart,KK Super Mart,0.5
179,184,KK Super Mart,7-Eleven,1.0
179,375,KK Super Mart,99 Speedmart,1.0
179,180,KK Super Mart,Family Mart,1.0
179,192,KK Super Mart,MyNews,1.0
180,184,Family Mart,7-Eleven,1.0
180,189,Family Mart,7-Eleven,1.0
180,192,Family Mart,MyNews,1.0
181,193,Family Mart,MyNews,1.0
181,377,Family Mart,99 Speedmart,1.0
181,194,Family Mart,CU,1.0
181,366,Family Mart,7-Eleven,1.0
182,183,7-Eleven,7-Eleven,0.5
182,363,7-Eleven,7-Eleven,0.5
182,360,7-Eleven,7-Eleven,0.5
182,342,7-Eleven,99 Speedmart,1.0
182,339,7-Eleven,99 Speedmart,1.0
182,340,7-Eleven,99 Speedmart,1.0
183,340,7-Eleven,99 Speedmart,1.0
183,190,7-Eleven,7-Eleven,0.5
184,191,7-Eleven,7-Eleven,0.5
184,398,7-Eleven,KK Super Mart,1.0
184,189,7-Eleven,7-Eleven,0.5
185,187,7-Eleven,7-Eleven,0.5
185,408,7-Eleven,7-Eleven,0.5
186,191,7-Eleven,7-Eleven,0.5
186,188,7-Eleven,7-Eleven,0.5
188,221,7-Eleven,Family Mart,1.0
