node1,node2,d_geo,d_geo_norm,d_brand,d_socio_pca,d_socio_norm,ecc,combined_weight,formula
13,331,1.7239984811728384,0.2904830299127597,1.0,0.6275575689546616,0.5619554512607061,0.5,0.8544096527586766,(0.69*0.290 + 0.12*1.000 + 0.19*0.562) / 0.500
13,35,1.3509389673680647,0.22762482029643272,1.0,0.0,0.0,0.75,0.36941483467271813,(0.69*0.228 + 0.12*1.000 + 0.19*0.000) / 0.750
13,245,3.795837972700462,0.6395751083364176,0.5,0.32922015070119914,0.29480491910818785,0.3333333333333333,1.6719592781480517,(0.69*0.640 + 0.12*0.500 + 0.19*0.295) / 0.333
13,14,4.203630652038132,0.7082856404881992,0.5,0.0,0.0,0.3333333333333333,1.646151275810572,(0.69*0.708 + 0.12*0.500 + 0.19*0.000) / 0.333
13,286,1.0813106898642584,0.18219413120082448,0.5,0.6275575689546616,0.5619554512607061,0.5,0.584970972536206,(0.69*0.182 + 0.12*0.500 + 0.19*0.562) / 0.500
14,301,1.9409826649979849,0.32704351639172474,0.5,0.6275575689546616,0.5619554512607061,0.5,0.7848631240996484,(0.69*0.327 + 0.12*0.500 + 0.19*0.562) / 0.500
14,289,1.4355929707948316,0.24188849377306096,0.5,0.6275575689546616,0.5619554512607061,0.6,0.5561243274049104,(0.69*0.242 + 0.12*0.500 + 0.19*0.562) / 0.600
14,31,0.7764947405572165,0.13083453808783796,1.0,0.0,0.0,1.0,0.21027583128060817,(0.69*0.131 + 0.12*1.000 + 0.19*0.000) / 1.000
14,18,0.7040824032835526,0.11863350927950125,1.0,0.0,0.0,1.0,0.20185712140285586,(0.69*0.119 + 0.12*1.000 + 0.19*0.000) / 1.000
14,15,0.8465459401300819,0.14263772986739576,0.5,0.0,0.0,0.6,0.26403338934750514,(0.69*0.143 + 0.12*0.500 + 0.19*0.000) / 0.600
14,23,1.8541167893935582,0.31240715619932324,1.0,0.0,0.0,0.5,0.6711218755550661,(0.69*0.312 + 0.12*1.000 + 0.19*0.000) / 0.500
15,306,5.238596697944022,0.8826709872009442,0.5,0.6275575689546616,0.5619554512607061,0.4,1.9395362922704635,(0.69*0.883 + 0.12*0.500 + 0.19*0.562) / 0.400
15,31,0.07915846327500939,0.013337709114290906,1.0,0.0,0.0,1.0,0.12920301928886072,(0.69*0.013 + 0.12*1.000 + 0.19*0.000) / 1.000
15,36,0.6860138444073991,0.11558906939987239,1.0,0.0,0.0,1.0,0.19975645788591195,(0.69*0.116 + 0.12*1.000 + 0.19*0.000) / 1.000
15,23,1.4589544226475393,0.24582475322540048,1.0,0.0,0.0,0.6,0.48269846620921053,(0.69*0.246 + 0.12*1.000 + 0.19*0.000) / 0.600
15,33,0.7002313316998618,0.1179846276509743,1.0,0.0,0.0,1.0,0.20140939307917227,(0.69*0.118 + 0.12*1.000 + 0.19*0.000) / 1.000
16,56,0.6338733994311067,0.10680372845954327,1.0,0.46193516057016215,0.41364648353105316,0.75,0.36304987267731326,(0.69*0.107 + 0.12*1.000 + 0.19*0.414) / 0.750
16,26,0.898023750866866,0.15131142105645284,1.0,0.0,0.0,0.75,0.2992065073719366,(0.69*0.151 + 0.12*1.000 + 0.19*0.000) / 0.750
16,25,1.058714965725845,0.17838689210956152,1.0,0.0,0.0,0.75,0.3241159407407966,(0.69*0.178 + 0.12*1.000 + 0.19*0.000) / 0.750
17,27,0.581595884823461,0.09799529213818028,1.0,0.0,0.0,0.75,0.25015566876712586,(0.69*0.098 + 0.12*1.000 + 0.19*0.000) / 0.750
17,243,1.1773089023070913,0.19836923339559678,1.0,0.32922015070119914,0.29480491910818785,0.75,0.4171836075646899,(0.69*0.198 + 0.12*1.000 + 0.19*0.295) / 0.750
17,30,0.03826363160184694,0.006447184127220703,1.0,0.0,0.0,1.0,0.12444855704778228,(0.69*0.006 + 0.12*1.000 + 0.19*0.000) / 1.000
18,31,0.0823239563141741,0.013871075018742724,1.0,0.0,0.0,1.0,0.12957104176293247,(0.69*0.014 + 0.12*1.000 + 0.19*0.000) / 1.000
19,298,0.7155627892431515,0.12056788296632925,1.0,0.6275575689546616,0.5619554512607061,0.6,0.5166056249771689,(0.69*0.121 + 0.12*1.000 + 0.19*0.562) / 0.600
19,326,0.6603353707469284,0.11126240617256256,1.0,0.6275575689546616,0.5619554512607061,0.6,0.5059043266643373,(0.69*0.111 + 0.12*1.000 + 0.19*0.562) / 0.600
19,300,0.767035148223619,0.12924065556832812,1.0,0.6275575689546616,0.5619554512607061,0.6,0.5265793134694676,(0.69*0.129 + 0.12*1.000 + 0.19*0.562) / 0.600
19,325,1.1132913602241916,0.18758267540561674,1.0,0.6275575689546616,0.5619554512607061,0.75,0.4749381090258796,(0.69*0.188 + 0.12*1.000 + 0.19*0.562) / 0.750
19,292,0.634327886957321,0.10688030678319846,1.0,0.6275575689546616,0.5619554512607061,0.6,0.5008649123665686,(0.69*0.107 + 0.12*1.000 + 0.19*0.562) / 0.600
19,32,0.11042737898966164,0.01860632708470794,1.0,0.0,0.0,1.0,0.13283836568844848,(0.69*0.019 + 0.12*1.000 + 0.19*0.000) / 1.000
20,22,0.0271767765947906,0.004579117960212112,1.0,0.0,0.0,1.0,0.12315959139254636,(0.69*0.005 + 0.12*1.000 + 0.19*0.000) / 1.000
20,81,1.732469526113023,0.29191034834002305,1.0,0.46193516057016215,0.41364648353105316,0.6,0.6666849537091933,(0.69*0.292 + 0.12*1.000 + 0.19*0.414) / 0.600
20,152,2.463016378702884,0.41500295285854055,1.0,0.7192649599808704,0.6440761535795692,0.6,0.8812108444208518,(0.69*0.415 + 0.12*1.000 + 0.19*0.644) / 0.600
21,25,0.21369819682222563,0.036006818090456326,1.0,0.0,0.0,0.75,0.1931262726432198,(0.69*0.036 + 0.12*1.000 + 0.19*0.000) / 0.750
21,26,1.1936379724826514,0.20112058023960785,1.0,0.0,0.0,0.6,0.43128866727554904,(0.69*0.201 + 0.12*1.000 + 0.19*0.000) / 0.600
22,34,0.33088453001084456,0.0557519869526924,1.0,0.0,0.0,1.0,0.15846887099735774,(0.69*0.056 + 0.12*1.000 + 0.19*0.000) / 1.000
22,81,1.7222097772727076,0.2901816444218785,1.0,0.46193516057016215,0.41364648353105316,1.0,0.39881816652199625,(0.69*0.290 + 0.12*1.000 + 0.19*0.414) / 1.000
23,301,1.5349636577545007,0.2586318369649412,1.0,0.6275575689546616,0.5619554512607061,0.5,0.810455006490687,(0.69*0.259 + 0.12*1.000 + 0.19*0.562) / 0.500
23,292,0.7887703844427029,0.13290290779287406,1.0,0.6275575689546616,0.5619554512607061,0.6,0.5307909035276954,(0.69*0.133 + 0.12*1.000 + 0.19*0.562) / 0.600
