FID,brand,name,place_id,latitude,longitude,FID_2,State,Parliament,DUN,night,pop_d,family_inc,family_out
34,99 Speedmart,99 Speedmart 2836 (JH) Taman Seri Austin,ChIJrywbAj1v2jERj4qsq68QncU,1.5834309,103.7371165,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
35,99 Speedmart,99 Speedmart 2132 (JH) Taman Pelangi Indah,ChIJRY5o7iFv2jER57S_yGel2vM,1.577464,103.8005229,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
37,99 Speedmart,99 Speedmart 3157 (JH) Taman Austin Perdana,ChIJk6ovLWJt2jER0pYyppYQeEw,1.547066,103.781037,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
38,99 Speedmart,99 Speedmart 2863 (JH) Taman Daya 4,ChIJEUZ1jQZv2jER2EdxQjVI2Vk,1.5610008,103.7586687,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
39,99 Speedmart,99 Speedmart 3245 (JH) Bandar Jaya Putra,ChIJ7emsZwtv2jERA-g21pgn7zg,1.5792464,103.7685347,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
41,99 Speedmart,99 Speedmart 2210 (JH) Taman Puteri Wangsa 2,ChIJbc0ijlRv2jER6e1tCIB5CSE,1.5913199,103.8027509,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
42,99 Speedmart,99 Speedmart 3125 (JH) Bandar Dato Onn 3,ChIJwfipXpVv2jERtXqvhWJ9MCA,1.5632524,103.7331487,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
43,99 Speedmart,99 Speedmart 3535 (JH) Taman Daya 6,ChIJ_50FiUtt2jERhDd1WJJcqDk,1.5448311,103.7572968,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
44,99 Speedmart,99 Speedmart 2206 (JH) Taman Daya,ChIJQYx1JHZv2jER5ZUcm7buq9s,1.5551842,103.7558483,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
49,99 Speedmart,99 Speedmart 2105 (JH) Taman Desa Tebrau,ChIJY2iq7GVv2jER1-B7Krs49OU,1.5655393,103.794714,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
51,99 Speedmart,99 Speedmart 2519 (JH) Taman Ekoperniagaan,ChIJa0FjUh5x2jER8A7joDYCbBA,1.5775014,103.724916,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
55,99 Speedmart,99 Speedmart 3582 (JH) Taman Bukit Jaya,ChIJ40WAGdNv2jERGNRkLra-RUk,1.5988472,103.8082719,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
69,99 Speedmart,99 Speedmart 2215 (JH) Taman Bestari Indah,ChIJCxvSORhv2jER0oinvELcwwU,1.5978979,103.7951847,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
76,99 Speedmart,99 Speedmart (JH) Taman Ekoflora,ChIJ9fjzq_9v2jERSxx4GQD7ZPM,1.6008388,103.7520249,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
79,99 Speedmart,99 Speedmart 2669 (JH) Taman Kempas Indah,ChIJZWa36EFz2jERaIjvR1aO-HQ,1.5523511,103.7178654,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
80,99 Speedmart,99 Speedmart 2234 (JH) Taman Setia Tropika,ChIJvV_XBrxz2jERj0GJm3rXRKs,1.5469442,103.7160037,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
81,99 Speedmart,99 Speedmart 3415 (JH) Taman Kempas Utama 2,ChIJ0y8TrF1x2jERO6nSRkzUqZM,1.5562029,103.7119483,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
83,99 Speedmart,99 Speedmart 2661 (JH) Taman Kempas Utama,ChIJxbJ7Qv9x2jERUKBOOCmLe8E,1.5479869,103.7058105,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
86,99 Speedmart,99 Speedmart 3064 (JH) Taman Perindustrian I-PARK SAC,ChIJjZURRx9x2jERiwzJTdNPTwQ,1.5969168,103.6785128,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
210,KK Super Mart,"KK Super Mart Johor, Taman Puteri Wangsa ( JTPW)",ChIJ4zsaxfBv2jERm7XgfngydIQ,1.5905498,103.8061653,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
211,KK Super Mart,KK Super Mart Johor Taman Setia Indah (JSID),ChIJ3SmNy1pv2jER_AX_HKbVeo8,1.5726516,103.7567385,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
212,KK Super Mart,KK SUPER MART Adda Heights (JADH),ChIJqxVSzfxt2jER_wIB6BCDfSg,1.5471918,103.7472426,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
213,KK Super Mart,"KK SUPER MART Johor, Taman Daya(JTDY)",ChIJ3-VFph9v2jERBNxbF7Y89ws,1.5599941,103.7585829,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
214,KK Super Mart,"KK Super Mart Johor, Ulu Tiram, Taman Gaya (JUTG)",ChIJOwoMA1dv2jERmeg1DdgjCjg,1.5671922,103.8014824,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
215,KK Super Mart,"KK Super mart Johor, Residensi KSL Kangkar Tebrau (JRKT)",ChIJ3UMVGBNt2jERIayejt3UCJc,1.5281696,103.7708878,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
216,KK Super Mart,"KK SUPER MART Johor, Taman Mount Austin (JMTA)",ChIJ745CiMBv2jERZn9zgFYIRvs,1.5632619,103.7788696,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
218,KK Super Mart,"KK Super Mart Johor, Taman Desa Tebrau (JTDT)",ChIJm1zVZVBv2jERp-kvfYRdEnU,1.5534278,103.7912032,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
220,KK Super Mart,"KK Super Mart Johor, Bandar Dato Onn (JBDO)",ChIJYSoazjVv2jER5i7okcmtclo,1.5692133,103.7428411,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
222,KK Super Mart,"KK Super Mart Johor, Taman Desa Mutiara ( JTDM )",ChIJ23gbuExt2jERxJp2oMC8HLY,1.5387735,103.7482126,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
275,Family Mart,FamilyMart Taman Setia Indah,ChIJffSXFAhv2jERwoq_EKnDhMA,1.5722185,103.7568278,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
277,Family Mart,FamilyMart Taman Gaya,ChIJCQbyvqVv2jER2TOoyom33eU,1.5626553,103.8003327,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
278,Family Mart,FamilyMart Caltex Taman Puteri Wangsa,ChIJXQA_nE1v2jERgXI9fzZ08zA,1.5907416,103.8018392,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
279,Family Mart,FamilyMart Taman Mount Austin,ChIJ89_Fse1v2jERWm1wUQkzWAA,1.5587898,103.7811505,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
281,Family Mart,FamilyMart Taman Adda,ChIJLcPBt9xt2jERI67Ia6ocFus,1.5475422,103.7465789,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
282,Family Mart,FamilyMart Caltex Mukim Tebrau,ChIJD-d3_VBt2jERxV6M7uK6-ss,1.5297573,103.7572752,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
285,Family Mart,FamilyMart Toppen,ChIJ0TUEcaVv2jERndCVODRYPKI,1.553264,103.7971693,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
288,Family Mart,FamilyMart Setia Tropika,ChIJ9_n9SHJz2jERATj-9IHzW3U,1.5454929,103.7116507,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
330,7-Eleven,7CAF??? by 7-Eleven Pusat Perniagaan Ekoflora (#3082),ChIJUdPTQSlv2jER-nbqgu6U4bk,1.5887545,103.759241,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
332,7-Eleven,7CAF??? by 7-Eleven Setia Indah 5 (#3116),ChIJB8CkQwBv2jER4MvIDZGs-DA,1.5742784,103.7487577,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
333,7-Eleven,7-Eleven,ChIJB_wmBC9u2jERJsttrH3aQ7g,1.582965,103.7372086,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
334,7-Eleven,7CAF??? by 7-Eleven Pelangi Indah Johor (#479),ChIJldcbZrlv2jERPsJ8Eu3pKBs,1.5721558,103.8011086,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
337,7-Eleven,7-Eleven,ChIJQ8supolu2jERyhzcOFnb0Fg,1.5647155,103.7781524,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
339,7-Eleven,7-Eleven,ChIJv28iF89u2jERzfL2h2poYag,1.5771632,103.8120607,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
340,7-Eleven,7CAF??? by 7-Eleven Austin Waterpark Johor Bahru Johor (#1976),ChIJcbu-4Ydu2jERaaG8M46cRU8,1.56177,103.776459,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
341,7-Eleven,7-Eleven,ChIJEQTC1b5u2jER0e-O5GAS9Hg,1.568832,103.8038951,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
342,7-Eleven,7CAF??? by 7-Eleven Austin Heights Johor Bahru Johor (#1046),ChIJQ2tbXq9v2jERVyfBrzU2yW0,1.5616612,103.7787491,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
344,7-Eleven,7CAF??? by 7-Eleven Puteri Wangsa 2 Johor (#2078),ChIJqVw7dydv2jERWobGLskNmYU,1.5906318,103.8068333,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
345,7-Eleven,7CAF??? by 7-Eleven Setia Indah 4 (#3105),ChIJO_HIYgBv2jER1Z9LXzTuXAI,1.5767881,103.7583049,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
347,7-Eleven,7-Eleven,ChIJbfwn_V9u2jERYFxJ9Yd-IVw,1.571438,103.7745832,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
349,7-Eleven,7-Eleven,ChIJ8Wy3sZ1u2jEREUMqxVnW0Zk,1.5542013,103.7907179,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
350,7-Eleven,7-Eleven,ChIJ7_3R5nVv2jERaTq7ViN_TBM,1.5699882,103.7436816,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
352,7-Eleven,7-Eleven,ChIJ4Z-OFUJu2jERXSW0VPSX6Qk,1.5725447,103.7591169,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
356,7-Eleven,7CAF??? by 7-Eleven Taman Desa Tebrau (#1290),ChIJaae05Z5u2jERL79FjSZL9Ow,1.5555036,103.7951889,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
357,7-Eleven,7-Eleven electric chansaw,ChIJtzwBIu9t2jERg2SHoLeLzIY,1.5205126,103.7503663,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
359,7-Eleven,7-Eleven,ChIJJSyuahty2jERMrqWd4249pk,1.5469453,103.7158409,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
364,7-Eleven,7-Eleven,ChIJW1b5mgZy2jERJNu2ixm8jHo,1.5453251,103.7128071,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
365,7-Eleven,7-11 Emas,ChIJ__rsFABv2jERSrO2QxPxvfk,1.5546985,103.7842466,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
367,7-Eleven,7CAF??? by 7-Eleven Setia Tropika 4 (#2603),ChIJN5VTXH9z2jERjsIVtv6HScM,1.5473113,103.7119583,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
368,7-Eleven,7-Eleven,ChIJs6NL2Sts2jERyynJjY8clgs,1.5464189,103.7878558,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
371,7-Eleven,7-Eleven,ChIJz6dpnO9t2jERB6nPWw1hGhU,1.5422874,103.7431428,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
372,7-Eleven,7-Eleven,ChIJvamTfgZu2jERjOKjwycgQVs,1.5571739,103.7378449,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
373,7-Eleven,7-Eleven,ChIJi4NY_HRu2jERTuuuBpA5Oc8,1.5479342,103.7458098,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
375,7-Eleven,7-Eleven,ChIJW_9o_HRu2jERAyPvA1nxsIU,1.5551315,103.7545329,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
377,7-Eleven,7-Eleven,ChIJHyaojtpt2jERwIu3aPzI5FI,1.5451924,103.762589,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
378,7-Eleven,7-Eleven,ChIJmXFcxsJu2jER-7di9TVPXrE,1.579839,103.8001429,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
381,7-Eleven,7-Eleven,ChIJ788CkHFu2jER8-3ZEYQN05k,1.5602908,103.7585678,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
383,7-Eleven,7-Eleven,ChIJw064rUxv2jERp8Y9ouwzDxc,1.5537451,103.7975711,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
384,7-Eleven,7-Eleven,ChIJDXNXcxdv2jERedI6ohCx4tA,1.5879389,103.7585808,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
386,7-Eleven,7-Eleven,ChIJhT0IK5Vv2jERBx_YcGfdCVU,1.5731337,103.7662009,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
