node_id,store_id,brand,region,longitude,latitude,community_id,is_generator,is_boundary_node
229,421,7-Eleven,SKUDAI,103.6526306,1.5092654,5,False,True
230,431,7-Eleven,SKUDAI,103.6687846,1.5394888,5,False,True
231,432,7-Eleven,SKUDAI,103.641612,1.5098186,5,False,False
232,433,7-Eleven,SKUDAI,103.6608094,1.5200826,5,False,True
233,435,7-Eleven,SKUDAI,103.6401075,1.4902786,7,False,True
234,493,7-Eleven,SKUDAI,103.6386337,1.5073628,5,False,True
235,496,7-Eleven,SKUDAI,103.6326713,1.5147982,5,False,False
236,522,MyNews,SKUDAI,103.682087,1.5423175,8,False,True
237,534,MyNews,SKUDAI,103.6679967,1.516144,7,False,True
238,561,CU,SKUDAI,103.6697913,1.5151311,7,False,True
239,563,CU,SKUDAI,103.6317121,1.5138452,5,False,False
240,6,99 Speedmart,TIRAM,103.8043569,1.5553946,3,False,False
241,26,99 Speedmart,TIRAM,103.8008101,1.5635136,3,False,False
242,32,99 Speedmart,TIRAM,103.8131805,1.5662359,3,False,False
243,48,99 Speedmart,TIRAM,103.8133581,1.5468419,3,False,False
244,50,99 Speedmart,TIRAM,103.8087931,1.5615234,3,False,False
245,57,99 Speedmart,TIRAM,103.8178105,1.552997,3,False,True
246,61,99 Speedmart,TIRAM,103.8190581,1.5875006,3,False,False
247,68,99 Speedmart,TIRAM,103.822602,1.5993225,3,False,False
248,73,99 Speedmart,TIRAM,103.8104727,1.6101419,3,False,False
249,74,99 Speedmart,TIRAM,103.823,1.6145278,3,False,False
250,75,99 Speedmart,TIRAM,103.8148422,1.622756,3,False,False
251,122,99 Speedmart,TIRAM,103.9527774,1.4901508,1,False,False
252,124,99 Speedmart,TIRAM,103.9253183,1.5234962,1,False,False
253,125,99 Speedmart,TIRAM,103.9359817,1.4552382,1,False,False
254,127,99 Speedmart,TIRAM,103.9225347,1.5072792,1,False,False
255,194,99 Speedmart,TIRAM,103.9278038,1.4932242,1,False,False
256,195,99 Speedmart,TIRAM,103.9318762,1.4735429,1,False,False
257,196,99 Speedmart,TIRAM,103.9473441,1.521353,1,False,False
258,197,99 Speedmart,TIRAM,103.953506,1.4831747,1,True,False
259,198,99 Speedmart,TIRAM,103.944834,1.4840994,1,False,False
260,207,99 Speedmart,TIRAM,103.9318422,1.4412045,1,False,False
261,209,KK Super Mart,TIRAM,103.8127014,1.5477409,3,False,False
262,221,KK Super Mart,TIRAM,103.8078742,1.5620354,3,True,False
263,223,KK Super Mart,TIRAM,103.8123812,1.6025282,3,False,False
264,224,KK Super Mart,TIRAM,103.8229309,1.5979967,3,False,False
265,269,KK Super Mart,TIRAM,103.946021,1.4840286,1,False,False
266,270,KK Super Mart,TIRAM,103.9322371,1.4429087,1,False,False
267,287,7-Eleven,TIRAM,103.812626,1.6024605,3,False,False
268,312,Family Mart,TIRAM,103.9228823,1.5096203,1,False,False
269,327,Family Mart,TIRAM,103.9369429,1.4854138,1,False,False
270,328,Family Mart,TIRAM,103.949947,1.4848588,1,False,False
271,331,7-Eleven,TIRAM,103.8137397,1.5476329,3,False,False
272,338,7-Eleven,TIRAM,103.8101175,1.5589067,3,False,False
273,361,7-Eleven,TIRAM,103.793325,1.598635,3,False,True
274,366,7-Eleven,TIRAM,103.8233357,1.5991844,3,False,False
275,379,7-Eleven,TIRAM,103.8007657,1.5631988,3,False,False
276,382,7-Eleven,TIRAM,103.814286,1.5663842,3,False,False
277,466,7-Eleven,TIRAM,103.8217681,1.6130862,3,False,False
278,489,7-Eleven,TIRAM,103.927966,1.490864,1,False,False
279,499,7-Eleven,TIRAM,103.932216,1.4432638,1,False,False
280,500,7-Eleven,TIRAM,103.9378758,1.485694,1,False,False
281,501,7-Eleven,TIRAM,103.946334,1.4841132,1,False,False
282,502,7-Eleven,TIRAM,103.9488324,1.4848149,1,False,False
283,503,7-Eleven,TIRAM,103.9531867,1.4837989,1,False,False
284,556,CU,TIRAM,103.8089787,1.5611935,3,False,False
285,566,CU,TIRAM,103.9375407,1.4847329,1,False,False
286,45,99 Speedmart,PERMAS,103.818485,1.5122329,2,False,True
287,46,99 Speedmart,PERMAS,103.8121287,1.4973519,2,False,True
288,58,99 Speedmart,PERMAS,103.820883,1.5046481,2,False,False
289,59,99 Speedmart,PERMAS,103.8503317,1.4999635,2,False,False
290,60,99 Speedmart,PERMAS,103.8196159,1.499223,2,False,False
291,62,KK Super Mart,PERMAS,103.815491,1.4968691,2,False,False
292,64,99 Speedmart,PERMAS,103.8704213,1.4895432,2,False,False
293,65,99 Speedmart,PERMAS,103.8427096,1.4933568,2,False,False
294,70,99 Speedmart,PERMAS,103.8431772,1.4917918,2,True,False
295,72,99 Speedmart,PERMAS,103.8183992,1.4896712,2,False,True
296,78,99 Speedmart,PERMAS,103.8825144,1.4861352,2,False,False
297,118,99 Speedmart,PERMAS,103.8673962,1.4869837,2,False,False
298,119,99 Speedmart,PERMAS,103.8809482,1.49444,2,False,True
299,120,99 Speedmart,PERMAS,103.8498659,1.4914485,2,False,False
300,121,99 Speedmart,PERMAS,103.8746023,1.4865419,2,False,False
301,123,99 Speedmart,PERMAS,103.8604377,1.4901813,2,False,False
302,126,99 Speedmart,PERMAS,103.899613,1.4829994,2,False,False
303,161,99 Speedmart,PERMAS,103.8681072,1.4739423,2,False,True
304,162,99 Speedmart,PERMAS,103.8691389,1.4804444,2,False,False
305,163,99 Speedmart,PERMAS,103.8968088,1.4730458,2,False,True
306,164,99 Speedmart,PERMAS,103.9152222,1.51275,1,False,True
307,165,99 Speedmart,PERMAS,103.9153031,1.5022112,1,False,True
308,192,99 Speedmart,PERMAS,103.9126549,1.4584984,1,False,True
309,193,99 Speedmart,PERMAS,103.9094722,1.4881944,1,False,True
310,240,KK Super Mart,PERMAS,103.8425751,1.4928657,2,False,False
311,253,KK Super Mart,PERMAS,103.8689543,1.48064,2,False,False
312,254,KK Super Mart,PERMAS,103.8489216,1.490711,2,False,False
313,261,KK Super Mart,PERMAS,103.8951461,1.4785298,2,False,False
314,302,Family Mart,PERMAS,103.8146795,1.4961556,2,False,False
315,319,Family Mart,PERMAS,103.896195,1.4780715,2,False,False
316,354,7-Eleven,PERMAS,103.8154996,1.4969678,2,False,False
317,376,7-Eleven,PERMAS,103.8160611,1.5007272,2,False,False
318,390,7-Eleven,PERMAS,103.8697099,1.4798251,2,False,False
