number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_R,user_attrs_R,user_attrs_alpha,user_attrs_beta,user_attrs_community_distinction,user_attrs_gamma,user_attrs_ifr,user_attrs_inequality,user_attrs_modularity,user_attrs_n_comm,system_attrs_NSGAIISampler:generation,state
56,0.7925268323669686,0.901520311978417,0.20914426317760212,0.8849319639403215,2025-11-21 04:54:36.579996,2025-11-21 04:54:36.924514,0 days 00:00:00.344518,2.4291712715451546,2.4291712715451546,0.39842154479207237,0.23084239467454787,0.20914426317760212,0.3707360605333797,0.8849319639403215,0.09847968802158298,0.7925268323669686,12,1,COMPLETE
57,0.742704849901327,0.7615072242424589,0.22356299526267062,0.9387330322160006,2025-11-21 04:54:36.925355,2025-11-21 04:54:37.267726,0 days 00:00:00.342371,3.5578200554010246,3.5578200554010246,0.7775424323797832,0.1164880875557237,0.22356299526267062,0.10596948006449318,0.9387330322160006,0.2384927757575411,0.742704849901327,7,1,COMPLETE
58,0.7598116069931911,0.0,0.0,0.0,2025-11-21 04:54:37.268725,2025-11-21 04:54:37.651577,0 days 00:00:00.382852,1.9748865335606496,1.9748865335606496,0.36533489462995816,0.4490769776890342,0.0,0.18558812768100771,0.0,1.0,0.7598116069931911,33,1,COMPLETE
59,0.6991972863780219,0.7745243942320452,0.14812796717593898,0.9439078410995254,2025-11-21 04:54:37.652577,2025-11-21 04:54:37.998595,0 days 00:00:00.346018,4.915968473014276,4.915968473014276,0.7501718225172691,0.1340229738422249,0.14812796717593898,0.1158052036405059,0.9439078410995254,0.22547560576795475,0.6991972863780219,5,1,COMPLETE
60,0.6913242500798013,0.7502621768262658,0.16655822906339213,0.9441813234135632,2025-11-21 04:54:37.999595,2025-11-21 04:54:38.354588,0 days 00:00:00.354993,5.581111541739561,5.581111541739561,0.5414320154714718,0.30370817761542906,0.16655822906339213,0.15485980691309914,0.9441813234135632,0.24973782317373422,0.6913242500798013,5,1,COMPLETE
61,0.6710328979226117,0.6967188973904799,0.1640017489674229,0.9517009933692193,2025-11-21 04:54:38.355575,2025-11-21 04:54:38.692928,0 days 00:00:00.337353,4.349164833625907,4.349164833625907,0.38514839522501765,0.16981452589544876,0.1640017489674229,0.4450370788795336,0.9517009933692193,0.30328110260952007,0.6710328979226117,5,1,COMPLETE
62,0.47806713337747486,0.0,0.0,0.0,2025-11-21 04:54:38.694134,2025-11-21 04:54:39.050551,0 days 00:00:00.356417,10.201743846095258,10.201743846095258,0.37637623415056254,0.20744832920675363,0.0,0.41617543664268386,0.0,1.0,0.47806713337747486,2,1,COMPLETE
63,0.6398053719803874,0.6904077374926512,0.11376801525204515,0.9653395431558456,2025-11-21 04:54:39.051565,2025-11-21 04:54:39.391868,0 days 00:00:00.340303,5.2459099302826875,5.2459099302826875,0.20090818442032593,0.2008461055954167,0.11376801525204515,0.5982457099842574,0.9653395431558456,0.3095922625073488,0.6398053719803874,4,1,COMPLETE
64,0.7316020425036174,0.8042655866732509,0.15840537143874406,0.9278955796838759,2025-11-21 04:54:39.392866,2025-11-21 04:54:39.733045,0 days 00:00:00.340179,4.4498123517174974,4.4498123517174974,0.27876707954055235,0.3237317986056255,0.15840537143874406,0.397501121853822,0.9278955796838759,0.19573441332674907,0.7316020425036174,6,1,COMPLETE
65,0.6283594123968507,0.7003425937051868,0.09953450790785379,0.9503013138388353,2025-11-21 04:54:39.734947,2025-11-21 04:54:40.071135,0 days 00:00:00.336188,7.198308873161609,7.198308873161609,0.27002094555261696,0.3724834164214521,0.09953450790785379,0.3574956380259309,0.9503013138388353,0.29965740629481324,0.6283594123968507,4,1,COMPLETE
66,0.7755487874603709,0.8536903736302823,0.2368164384421394,0.8968572238557649,2025-11-21 04:54:40.072133,2025-11-21 04:54:40.422656,0 days 00:00:00.350523,2.9797043622350077,2.9797043622350077,0.5212855428809188,0.21051584674351398,0.2368164384421394,0.2681986103755672,0.8968572238557649,0.14630962636971762,0.7755487874603709,10,1,COMPLETE
67,0.5325771897090565,0.6271582465391005,0.05724504767109562,0.9583551858180864,2025-11-21 04:54:40.423663,2025-11-21 04:54:40.766254,0 days 00:00:00.342591,9.923068297917416,9.923068297917416,0.20099071497532356,0.4685773107279124,0.05724504767109562,0.33043197429676396,0.9583551858180864,0.37284175346089954,0.5325771897090565,3,1,COMPLETE
68,0.7917648559978603,0.8700076691898491,0.2225516798003343,0.8924808669917003,2025-11-21 04:54:40.767274,2025-11-21 04:54:41.120694,0 days 00:00:00.353420,2.2827817586375936,2.2827817586375936,0.4477415437850156,0.16596970946366912,0.2225516798003343,0.3862887467513152,0.8924808669917003,0.1299923308101509,0.7917648559978603,12,1,COMPLETE
69,0.5323954643192381,0.6446392226522022,0.0646430160062085,0.9516888772014739,2025-11-21 04:54:41.121592,2025-11-21 04:54:41.456547,0 days 00:00:00.334955,11.862312834305431,11.862312834305431,0.1486627108936692,0.7023959354244447,0.0646430160062085,0.14894135368188616,0.9516888772014739,0.3553607773477978,0.5323954643192381,3,1,COMPLETE
70,0.5278523140592535,0.614827771294234,0.05255843066038842,0.9596706382433857,2025-11-21 04:54:41.457440,2025-11-21 04:54:41.797511,0 days 00:00:00.340071,9.608570077614903,9.608570077614903,0.1660367357928294,0.39273536008323595,0.05255843066038842,0.44122790412393464,0.9596706382433857,0.385172228705766,0.5278523140592535,3,1,COMPLETE
71,0.6247704130656582,0.6507761011043214,0.0991327341334714,0.9736689379839685,2025-11-21 04:54:41.797511,2025-11-21 04:54:42.141792,0 days 00:00:00.344281,3.58651465610881,3.58651465610881,0.3114109449776444,0.1114385681854489,0.0991327341334714,0.5771504868369066,0.9736689379839685,0.3492238988956787,0.6247704130656582,4,1,COMPLETE
72,0.8077625132714414,0.9101161650753293,0.23877636265844765,0.8712649562125075,2025-11-21 04:54:42.143017,2025-11-21 04:54:42.533061,0 days 00:00:00.390044,1.5579822297978252,1.5579822297978252,0.555054690033031,0.11627569633913176,0.23877636265844765,0.3286696136278372,0.8712649562125075,0.08988383492467063,0.8077625132714414,18,1,COMPLETE
73,-1.887379141862766e-15,0.0,0.0,0.0,2025-11-21 04:54:42.533061,2025-11-21 04:54:42.880959,0 days 00:00:00.347898,10.062344998775758,10.062344998775758,0.29086128224818164,0.10411488207658476,0.0,0.6050238356752335,0.0,1.0,-1.887379141862766e-15,1,1,COMPLETE
74,0.6388572756280838,0.7059104752363479,0.13428346131535687,0.9538112240378809,2025-11-21 04:54:42.882951,2025-11-21 04:54:43.232568,0 days 00:00:00.349617,8.92200211039998,8.92200211039998,0.2871809529937162,0.5033942631846081,0.13428346131535687,0.2094247838216756,0.9538112240378809,0.2940895247636521,0.6388572756280838,4,1,COMPLETE
75,0.4741483126996091,0.0,0.0,0.0,2025-11-21 04:54:43.233567,2025-11-21 04:54:43.842924,0 days 00:00:00.609357,9.154575264430367,9.154575264430367,0.38851200742772696,0.14325397684421712,0.0,0.4682340157280559,0.0,1.0,0.4741483126996091,2,1,COMPLETE
76,0.504698123374854,0.5728098385684515,0.08639927962417186,0.9614290626387505,2025-11-21 04:54:43.844966,2025-11-21 04:54:44.610382,0 days 00:00:00.765416,9.59833864020243,9.59833864020243,0.36997153327339627,0.3472130851432036,0.08639927962417186,0.2828153815834,0.9614290626387505,0.42719016143154853,0.504698123374854,3,1,COMPLETE
77,0.8057559006021285,0.8566574103431047,0.22062500336783025,0.9266518652291466,2025-11-21 04:54:44.611381,2025-11-21 04:54:45.356961,0 days 00:00:00.745580,2.2774688432079486,2.2774688432079486,0.46518550333533715,0.12382837680517078,0.22062500336783025,0.41098611985949207,0.9266518652291466,0.14334258965689525,0.8057559006021285,10,1,COMPLETE
78,0.48027857731615375,0.0,0.0,0.0,2025-11-21 04:54:45.358967,2025-11-21 04:54:46.114031,0 days 00:00:00.755064,5.263890149714863,5.263890149714863,0.10063455077756937,0.10683101384171861,0.0,0.7925344353807119,0.0,1.0,0.48027857731615375,2,1,COMPLETE
79,0.7853265619626796,0.8531424366277213,0.2457225754749179,0.9074724601176677,2025-11-21 04:54:46.115031,2025-11-21 04:54:46.936621,0 days 00:00:00.821590,2.716625125013862,2.716625125013862,0.6031734815350351,0.1559926337255808,0.2457225754749179,0.2408338847393838,0.9074724601176677,0.14685756337227876,0.7853265619626796,10,1,COMPLETE
80,0.47740363723295176,0.0,0.0,0.0,2025-11-21 04:54:46.938611,2025-11-21 04:54:47.731510,0 days 00:00:00.792899,10.562585971693732,10.562585971693732,0.14378293084591454,0.3741672187161946,0.0,0.48204985043789084,0.0,1.0,0.47740363723295176,2,1,COMPLETE
81,0.4408998090064502,0.45578540371362364,0.10557201853233004,0.9797524194936781,2025-11-21 04:54:47.733515,2025-11-21 04:54:48.500195,0 days 00:00:00.766680,8.044630331689358,8.044630331689358,0.49951212121324307,0.2158581600782557,0.10557201853233004,0.28462971870850107,0.9797524194936781,0.5442145962863764,0.4408998090064502,3,1,COMPLETE
82,0.7026680138122532,0.7707489185416156,0.16611790477043656,0.9455065892416639,2025-11-21 04:54:48.502288,2025-11-21 04:54:49.324349,0 days 00:00:00.822061,4.9744292609528165,4.9744292609528165,0.4328844639217725,0.3897145873321912,0.16611790477043656,0.17740094874603618,0.9455065892416639,0.2292510814583844,0.7026680138122532,5,1,COMPLETE
83,0.7470722290384311,0.0,0.0,0.0,2025-11-21 04:54:49.326334,2025-11-21 04:54:50.169950,0 days 00:00:00.843616,2.167362678003248,2.167362678003248,0.2670793412182553,0.5746206231067587,0.0,0.15830003567498607,0.0,1.0,0.7470722290384311,37,1,COMPLETE
84,0.7568890813665586,0.8723983477956581,0.24235651400737043,0.8718244312338476,2025-11-21 04:54:50.170870,2025-11-21 04:54:51.060395,0 days 00:00:00.889525,4.765314378014454,4.765314378014454,0.1804742352724965,0.6571593998835717,0.24235651400737043,0.16236636484393172,0.8718244312338476,0.1276016522043419,0.7568890813665586,10,1,COMPLETE
85,0.6966086021604536,0.7495937173422298,0.1829944420346878,0.9507111042678674,2025-11-21 04:54:51.062298,2025-11-21 04:54:51.835384,0 days 00:00:00.773086,4.914424881280844,4.914424881280844,0.5529962610860948,0.18087329801009683,0.1829944420346878,0.26613044090380833,0.9507111042678674,0.25040628265777015,0.6966086021604536,5,1,COMPLETE
86,0.6269761599042111,0.6766719133338799,0.13740287815426175,0.9584862372649677,2025-11-21 04:54:51.837374,2025-11-21 04:54:52.591299,0 days 00:00:00.753925,9.160864872549674,9.160864872549674,0.4297731074413309,0.4274369901276325,0.13740287815426175,0.14278990243103656,0.9584862372649677,0.32332808666612006,0.6269761599042111,4,1,COMPLETE
87,0.6335991583074575,0.7120875321700484,0.10291350810326495,0.9491785142430748,2025-11-21 04:54:52.593409,2025-11-21 04:54:53.457806,0 days 00:00:00.864397,8.194353449229737,8.194353449229737,0.21546457546117526,0.47043633404118557,0.10291350810326495,0.3140990904976393,0.9491785142430748,0.2879124678299516,0.6335991583074575,4,1,COMPLETE
88,0.4788255082237979,0.0,0.0,0.0,2025-11-21 04:54:53.458757,2025-11-21 04:54:54.319830,0 days 00:00:00.861073,10.81573379705143,10.81573379705143,0.31072710120408453,0.34997184595565894,0.0,0.3393010528402565,0.0,1.0,0.4788255082237979,2,1,COMPLETE
89,0.6367722975786816,0.7026026074806906,0.11544523045569337,0.955474604523382,2025-11-21 04:54:54.320834,2025-11-21 04:54:55.187150,0 days 00:00:00.866316,6.458256714200467,6.458256714200467,0.1059327668205019,0.38547268903176846,0.11544523045569337,0.5085945441477296,0.955474604523382,0.29739739251930936,0.6367722975786816,4,1,COMPLETE
90,0.7834292352782202,0.0,0.0,0.0,2025-11-21 04:54:55.189151,2025-11-21 04:54:56.025070,0 days 00:00:00.835919,2.755739582352168,2.755739582352168,0.42846849400900855,0.4372606275688794,0.0,0.1342708784221119,0.0,1.0,0.7834292352782202,21,1,COMPLETE
91,0.6333118103570734,0.7210652331063272,0.10537824913075873,0.9437953510210224,2025-11-21 04:54:56.028061,2025-11-21 04:54:56.826548,0 days 00:00:00.798487,8.989070265841448,8.989070265841448,0.1322408970412528,0.6622468273955324,0.10537824913075873,0.20551227556321483,0.9437953510210224,0.2789347668936728,0.6333118103570734,4,1,COMPLETE
92,0.4757283610975609,0.0,0.0,0.0,2025-11-21 04:54:56.827543,2025-11-21 04:54:57.613227,0 days 00:00:00.785684,9.488243010477422,9.488243010477422,0.2677182250862863,0.2683580563853585,0.0,0.4639237185283551,0.0,1.0,0.4757283610975609,2,1,COMPLETE
